# material-design-x
bool,mtrl_btn_textappearance_all_caps
color,m3_sys_color_light_tertiary_container
color,m3_sys_color_on_primary_fixed
color,m3_sys_color_on_primary_fixed_variant
color,m3_sys_color_on_secondary_fixed
color,m3_sys_color_on_secondary_fixed_variant
color,m3_sys_color_on_tertiary_fixed
color,m3_sys_color_on_tertiary_fixed_variant
color,m3_sys_color_primary_fixed
color,m3_sys_color_primary_fixed_dim
color,m3_sys_color_secondary_fixed
color,m3_sys_color_secondary_fixed_dim
color,m3_sys_color_tertiary_fixed
color,m3_sys_color_tertiary_fixed_dim
color,material_harmonized_color_error
color,material_harmonized_color_error_container
color,material_harmonized_color_on_error
color,material_harmonized_color_on_error_container
color,material_personalized_color_background
color,material_personalized_color_control_activated
color,material_personalized_color_control_highlight
color,material_personalized_color_control_normal
color,material_personalized_color_error
color,material_personalized_color_error_container
color,material_personalized_color_on_background
color,material_personalized_color_on_error
color,material_personalized_color_on_error_container
color,material_personalized_color_on_primary
color,material_personalized_color_on_primary_container
color,material_personalized_color_on_secondary
color,material_personalized_color_on_secondary_container
color,material_personalized_color_on_surface
color,material_personalized_color_on_surface_inverse
color,material_personalized_color_on_surface_variant
color,material_personalized_color_on_tertiary
color,material_personalized_color_on_tertiary_container
color,material_personalized_color_outline
color,material_personalized_color_outline_variant
color,material_personalized_color_primary
color,material_personalized_color_primary_container
color,material_personalized_color_primary_inverse
color,material_personalized_color_secondary
color,material_personalized_color_secondary_container
color,material_personalized_color_surface
color,material_personalized_color_surface_bright
color,material_personalized_color_surface_container
color,material_personalized_color_surface_container_high
color,material_personalized_color_surface_container_highest
color,material_personalized_color_surface_container_low
color,material_personalized_color_surface_container_lowest
color,material_personalized_color_surface_dim
color,material_personalized_color_surface_inverse
color,material_personalized_color_surface_variant
color,material_personalized_color_tertiary
color,material_personalized_color_tertiary_container
color,material_personalized_color_text_hint_foreground_inverse
color,material_personalized_color_text_primary_inverse
color,material_personalized_color_text_primary_inverse_disable_only
color,material_personalized_color_text_secondary_and_tertiary_inverse
color,material_personalized_color_text_secondary_and_tertiary_inverse_disabled
color,mtrl_btn_text_color_disabled
color,mtrl_btn_transparent_bg_color
color,mtrl_scrim_color
color,mtrl_textinput_default_box_stroke_color
color,mtrl_textinput_disabled_color
color,mtrl_textinput_filled_box_default_background_color
color,mtrl_textinput_focused_box_stroke_color
color,mtrl_textinput_hovered_box_stroke_color
dimen,appcompat_dialog_background_inset
dimen,clock_face_margin_start
dimen,default_navigation_active_text_size
dimen,default_navigation_text_size
dimen,design_appbar_elevation
dimen,design_bottom_navigation_active_item_max_width
dimen,design_bottom_navigation_active_item_min_width
dimen,design_bottom_navigation_active_text_size
dimen,design_bottom_navigation_elevation
dimen,design_bottom_navigation_height
dimen,design_bottom_navigation_icon_size
dimen,design_bottom_navigation_item_max_width
dimen,design_bottom_navigation_item_min_width
dimen,design_bottom_navigation_label_padding
dimen,design_bottom_navigation_margin
dimen,design_bottom_navigation_shadow_height
dimen,design_bottom_navigation_text_size
dimen,design_bottom_sheet_elevation
dimen,design_bottom_sheet_modal_elevation
dimen,design_bottom_sheet_peek_height_min
dimen,design_fab_border_width
dimen,design_fab_elevation
dimen,design_fab_image_size
dimen,design_fab_size_mini
dimen,design_fab_size_normal
dimen,design_fab_translation_z_hovered_focused
dimen,design_fab_translation_z_pressed
dimen,design_navigation_elevation
dimen,design_navigation_icon_padding
dimen,design_navigation_icon_size
dimen,design_navigation_item_horizontal_padding
dimen,design_navigation_item_icon_padding
dimen,design_navigation_item_vertical_padding
dimen,design_navigation_max_width
dimen,design_navigation_padding_bottom
dimen,design_navigation_separator_vertical_padding
dimen,design_snackbar_action_inline_max_width
dimen,design_snackbar_action_text_color_alpha
dimen,design_snackbar_background_corner_radius
dimen,design_snackbar_elevation
dimen,design_snackbar_extra_spacing_horizontal
dimen,design_snackbar_max_width
dimen,design_snackbar_min_width
dimen,design_snackbar_padding_horizontal
dimen,design_snackbar_padding_vertical
dimen,design_snackbar_padding_vertical_2lines
dimen,design_snackbar_text_size
dimen,design_tab_max_width
dimen,design_tab_scrollable_min_width
dimen,design_tab_text_size
dimen,design_tab_text_size_2line
dimen,design_textinput_caption_translate_y
dimen,m3_alert_dialog_action_bottom_padding
dimen,m3_alert_dialog_action_top_padding
dimen,m3_alert_dialog_corner_size
dimen,m3_alert_dialog_elevation
dimen,m3_alert_dialog_icon_margin
dimen,m3_alert_dialog_icon_size
dimen,m3_alert_dialog_title_bottom_margin
dimen,m3_appbar_expanded_title_margin_bottom
dimen,m3_appbar_expanded_title_margin_horizontal
dimen,m3_appbar_scrim_height_trigger
dimen,m3_appbar_scrim_height_trigger_large
dimen,m3_appbar_scrim_height_trigger_medium
dimen,m3_appbar_size_compact
dimen,m3_appbar_size_large
dimen,m3_appbar_size_large_with_subtitle
dimen,m3_appbar_size_medium
dimen,m3_appbar_size_medium_with_subtitle
dimen,m3_back_progress_bottom_container_max_scale_x_distance
dimen,m3_back_progress_bottom_container_max_scale_y_distance
dimen,m3_back_progress_main_container_max_translation_y
dimen,m3_back_progress_main_container_min_edge_gap
dimen,m3_back_progress_side_container_max_scale_x_distance_grow
dimen,m3_back_progress_side_container_max_scale_x_distance_shrink
dimen,m3_back_progress_side_container_max_scale_y_distance
dimen,m3_badge_horizontal_offset
dimen,m3_badge_offset
dimen,m3_badge_size
dimen,m3_badge_vertical_offset
dimen,m3_badge_with_text_horizontal_offset
dimen,m3_badge_with_text_offset
dimen,m3_badge_with_text_size
dimen,m3_badge_with_text_vertical_offset
dimen,m3_badge_with_text_vertical_padding
dimen,m3_bottom_nav_item_active_indicator_height
dimen,m3_bottom_nav_item_active_indicator_margin_horizontal
dimen,m3_bottom_nav_item_active_indicator_width
dimen,m3_bottom_nav_item_expanded_active_indicator_height
dimen,m3_bottom_nav_item_padding_bottom
dimen,m3_bottom_nav_item_padding_top
dimen,m3_bottom_nav_min_height
dimen,m3_bottom_sheet_drag_handle_bottom_padding
dimen,m3_bottom_sheet_elevation
dimen,m3_bottom_sheet_modal_elevation
dimen,m3_bottomappbar_fab_cradle_margin
dimen,m3_bottomappbar_fab_cradle_rounded_corner_radius
dimen,m3_bottomappbar_fab_cradle_vertical_offset
dimen,m3_bottomappbar_fab_end_margin
dimen,m3_bottomappbar_height
dimen,m3_bottomappbar_horizontal_padding
dimen,m3_btn_dialog_btn_min_width
dimen,m3_btn_dialog_btn_spacing
dimen,m3_btn_disabled_elevation
dimen,m3_btn_disabled_translation_z
dimen,m3_btn_elevated_translation_z_hovered
dimen,m3_btn_elevation
dimen,m3_btn_group_overflow_item_icon_horizontal_padding
dimen,m3_btn_icon_btn_padding_left
dimen,m3_btn_icon_btn_padding_right
dimen,m3_btn_icon_only_default_padding
dimen,m3_btn_icon_only_default_size
dimen,m3_btn_icon_only_icon_padding
dimen,m3_btn_icon_only_min_width
dimen,m3_btn_inset
dimen,m3_btn_max_width
dimen,m3_btn_padding_bottom
dimen,m3_btn_padding_left
dimen,m3_btn_padding_right
dimen,m3_btn_padding_top
dimen,m3_btn_stroke_size
dimen,m3_btn_text_btn_icon_padding_left
dimen,m3_btn_text_btn_icon_padding_right
dimen,m3_btn_text_btn_padding_left
dimen,m3_btn_text_btn_padding_right
dimen,m3_btn_translation_z_base
dimen,m3_btn_translation_z_hovered
dimen,m3_card_disabled_z
dimen,m3_card_dragged_z
dimen,m3_card_elevated_disabled_z
dimen,m3_card_elevated_dragged_z
dimen,m3_card_elevated_elevation
dimen,m3_card_elevated_hovered_z
dimen,m3_card_elevation
dimen,m3_card_hovered_z
dimen,m3_card_stroke_width
dimen,m3_carousel_debug_keyline_width
dimen,m3_carousel_extra_small_item_size
dimen,m3_carousel_gone_size
dimen,m3_carousel_small_item_default_corner_size
